Market,Brand,Model,Body_Type,Fuel_Type,Year,Available_Date,Dealer,City,Province,Type,Version,Ext_Color,Int_Color,RRP_EUR,Monthly_EUR,APR_pct,Availability,Engine_Raw,URL
ES,BMW,Serie 1,HACH 5P,ICE,2024.0,2026-06-19,"Momentum Norte, S.R.L.",San Sebastian,Guipúzcoa,Nuevo,116,WHITE,BLACK,32469.78,,,soon,Gasolina,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6447638-60660050
ES,BMW,Serie 1,HACH 5P,ICE,2024.0,2026-03-27,"Ceres Motor, S.L.",Caceres,Cáceres,Nuevo,116,GRAY_MIDDLE,BLACK,34406.52,,,available,Gasolina,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6446748-60606457
ES,BMW,Serie 1,HACH 5P,ICE,2024.0,2026-05-08,"Lugauto, S.A.",Lugo,Lugo,Nuevo,116,WHITE,BLACK,34900.0,,,available,Gasolina,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6466531-61443716
ES,BMW,Serie 1,HACH 5P,ICE,2024.0,2026-05-29,"San Rafael Motor, S.L.",Cordoba,Córdoba,Nuevo,118D,WHITE,BLACK,34923.54,,,available,Diesel,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6458258-60919430
ES,BMW,Serie 1,HACH 5P,ICE,2024.0,2026-03-13,"Auto Premier Baviera, S.A.",Leganes,Madrid,Nuevo,116,WHITE,BLACK,35026.76,,,available,Gasolina,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6447131-60651596
ES,BMW,Serie 1,HACH 5P,ICE,2024.0,2026-05-29,"San Rafael Motor, S.L.",Cordoba,Córdoba,Nuevo,118D,WHITE,BLACK,35268.84,,,available,Diesel,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6450526-60694648
ES,BMW,X3,SAV,ICE,2025.0,2026-05-01,"Movitransa Cars, S.L.",Jerez de la Frontera,Cádiz,Nuevo,X3 20,WHITE,COGNAC,53483.5,,,available,Gasolina,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6450861-60695199
ES,BMW,X3,SAV,ICE,2025.0,2026-02-06,"Movitransa Cars, S.L.",Jerez de la Frontera,Cádiz,Nuevo,X3 20,GRAY_MIDDLE,COGNAC,55872.75,,,available,Gasolina,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6427244-59382537
ES,BMW,X3,SAV,ICE,2025.0,2026-04-10,"Movitransa Cars, S.L.",Jerez de la Frontera,Cádiz,Nuevo,X3 20,TURQUOISE_DARK,BLACK,56124.25,,,available,Gasolina,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6426939-59379120
ES,BMW,X3,SAV,ICE,2025.0,2026-01-09,"Movitransa Cars, S.L.",Jerez de la Frontera,Cádiz,Nuevo,X3 20D,GRAY_MIDDLE,BLACK,57004.5,,,available,Diesel,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6426928-59379329
ES,BMW,X3,SAV,PHEV,2024.0,2026-01-30,"Movitransa Cars, S.L.",Jerez de la Frontera,Cádiz,Nuevo,X3 30E,TURQUOISE_DARK,BLACK,57306.0,,,available,Hibrido enchufable,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6427247-59382546
ES,BMW,X3,SAV,ICE,2025.0,2026-05-22,"Carteya Motor, S.L.",Algeciras,Cádiz,Nuevo,X3 20D,WHITE,BLACK,57487.5,,,available,Diesel,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6451584-60700811
ES,BMW,X3,SAV,ICE,2025.0,2026-05-29,"Ilbira Motor, S.L.",Granada,Granada,Nuevo,X3 20D,WHITE,COGNAC,57900.0,,,available,Diesel,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6462678-61212699
ES,BMW,X3,SAV,ICE,2025.0,2026-06-19,"Momentum Norte, S.R.L.",San Sebastian,Guipúzcoa,Nuevo,X3 20D,GRAY_DARK,COGNAC,58342.51,,,soon,Diesel,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6457464-60897644
ES,BMW,X3,SAV,ICE,2025.0,2025-10-31,"Vehinter, S.A.",Getafe,Madrid,Nuevo,X3 20,RED_BURGUNDY,BLACK,58667.75,,,available,Gasolina,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6421796-59066581
ES,BMW,X3,SAV,ICE,2025.0,2026-04-17,"Lizaga Motor, S.L.",Pamplona,Navarra,Nuevo,X3 20D,BLACK,BLACK,58900.0,,,available,Diesel,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6445624-60586491
ES,BMW,X3,SAV,ICE,2025.0,2026-07-17,"San Rafael Motor, S.L.",Cordoba,Córdoba,Nuevo,X3 20D,WHITE,COGNAC,58972.55,,,soon,Diesel,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6465941-61391836
ES,BMW,X3,SAV,ICE,2025.0,2026-06-19,"Movitransa Cars, S.L.",Jerez de la Frontera,Cádiz,Nuevo,X3 20D,GRAY_DARK,BEIGE,59016.49,,,soon,Diesel,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6452437-60708161
ES,BMW,X1,SAV,ICE,2022.0,2026-01-30,"Movitransa Cars, S.L.",Jerez de la Frontera,Cádiz,Nuevo,X1 18D,WHITE,BLACK,41600.12,,,available,Diesel,https://www.bmw.es/es-es/sl/stocklocator/results?vehicleId=6436415-60221130
